iter	Passed	Remaining
971	11832	340
972	11848	328
973	11863	316
974	11876	304
975	11887	292
976	11899	280
977	11910	267
978	11921	255
979	11932	243
980	11942	231
981	11952	219
982	11962	206
983	11975	194
984	11987	182
985	11997	170
986	12008	158
987	12019	145
988	12030	133
989	12041	121
990	12055	109
991	12065	97
992	12075	85
993	12087	72
994	12098	60
995	12109	48
996	12121	36
997	12131	24
998	12142	12
999	12155	0
